"","gene_id","gene_name","precursor_1_1","precursor_2.5_1","precursor_3_1","precursor_3.5_1","precursor_4.5_1","precursor_6_1","precursor_10_1","transcript_1_1","transcript_2.5_1","transcript_3_1","transcript_3.5_1","transcript_4.5_1","transcript_6_1","transcript_10_1"
"11024","ENSDARG00000078613","vhll",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.02365286382523,2.51829847226429,1.0650208389043,2.788190829366,0.870550240702897,2.62835602793026,-0.881390166564436
"11025","ENSDARG00000079468","rhobtb1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.68186440489212,2.78758502186902,2.41673277859067,2.53223393651541,0.553036147136944,-2.5,-2.5
"11026","ENSDARG00000101244","gli1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.04331821603911,0.252464224426715,0.434721731259508,0.593545097665215,-0.0730940944905391,0.817795224696281,2.78733844805567
"11027","ENSDARG00000036082","tph1b",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.69746639610926,-0.58507193329029,0.385928067002338,-0.0635944560763621,1.5876482690613,2.78660265537284,0.800206287283248
"11028","ENSDARG00000102058","si:dkeyp-11e3.1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.78614886885632
"11029","ENSDARG00000006044","usta",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.53322947144621,2.78431344665902,2.70897075874428,2.57009130418577,-0.258483655396414,-1.45957153077299,-1.31900203259552
"11030","ENSDARG00000097543","cbx6b",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.45916451031973,-0.161630291800346,0.4574646794912,-0.329150245724849,0.489866272774552,1.76783973285458,2.78412359611919
"11031","ENSDARG00000078653","ralbp1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.75349761372636,2.78375628891822,2.70533879548431,2.7543595074126,2.58999116080636,1.88671015176734,0.991274286711624
"11032","ENSDARG00000010610","sarm1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.170983263654164,2.78360544229376,2.22625575859274,1.88333541594133,2.06051094362979,1.98846296272255,-1.77340219849101
"11033","ENSDARG00000073900","inka2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.70259913634314,-2.5,-1.93447676706578,-0.594708797145286,2.45773351190765,2.78359496624802,0.459316303348822
"11034","ENSDARG00000045936","pax6b",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-1.49277283928083,-0.497473618551165,-1.98497670819836,-2.5,-1.667645795111,2.78155252315911
"11035","ENSDARG00000023181","pcp4l1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.70339758242963,1.4439991490354,2.78110369900232
"11036","ENSDARG00000073753","tacc1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.955689684036712,-0.342190506198207,0.431038906691148,-0.138588885491858,2.78092346053083,2.73702281753013,1.53286156430816
"11037","ENSDARG00000086678","ascc3",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.83068159297252,2.58258573759656,2.58018919375393,2.77987311686279,2.55945558438943,1.67294607863351,-0.355660946691816
"11038","ENSDARG00000098064","si:ch1073-205c8.5",0.0101354581447024,0.12755417693219,-0.348136654445414,-0.0452749596634462,0.832485071303749,1.55188023215351,0.742359918915404,2.1211779354467,1.7260203340543,2.04855360642647,1.20101907938517,2.31908321140799,2.77969259002986,2.16194574363912
"11039","ENSDARG00000070119","ctc1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.74492449400681,1.54447554402517,1.36835495005644,1.81731630939641,1.42862487060615,1.14951308319541,2.7791441530339
"11040","ENSDARG00000037362","scube2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.174508816200814,1.88007819227278,1.93598773414057,1.89006922727735,1.85391985879896,2.77870903746624,2.28999380189806
"11041","ENSDARG00000004447","aplnr2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.58945674987512,0.965792317122518,1.825305775265,-0.463042087566271,-1.72625210420435,2.77870020949658
"11042","ENSDARG00000101618","ube2c",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.59935590795978,1.82258744152425,2.66982730716033,1.66633853599119,2.77852191844377,1.65306923747902,2.24998533285295
"11043","ENSDARG00000105088","tenm4",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.43791201721198,2.73421195583417,2.23783700146361,2.77851061311944,1.75807149147238,0.937274218619592,-0.0513586233581359
"11044","ENSDARG00000102965","CABZ01087948.1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.15977774218056,2.77784261962269,2.171286935769,2.50245538714865,1.2828786852532,0.627746992179648,-1.10653806614536
"11045","ENSDARG00000062423","zgc:153901",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.410709541380376,2.47758718868585,2.4678515143247,2.77751442264061,2.21388088034644,0.736596303537303,0.0490105032065706
"11046","ENSDARG00000033413","acot18",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,0.564755386511047,2.77633061029252,2.14009323312521,2.19139054188695,-0.808042546913665,-2.5,-1.60215828875607
"11047","ENSDARG00000002020","rictorb",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.70672064592976,2.50012813670513,2.5234746944799,2.77596945610946,1.41601189075692,0.469314476692265,2.10183362820161
"11048","ENSDARG00000093042","si:dkey-104n9.1",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.42554795312755,2.77585335859207,1.31543876440711,-0.319171395711101,0.349297444419513,0.0763129472136426,-1.23287373593858
"11049","ENSDARG00000104676","prkd2",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.0537495942636429,1.55090120627355,2.18961777621778,1.70068122727064,1.85119977843928,0.415305563179101,2.77397736324911
"11050","ENSDARG00000094206","si:ch73-191k20.3",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.42213615383628,2.77356389473018,2.37217486640777
"11051","ENSDARG00000102421","acp7",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.71932805327873,2.67437253690259,2.77337399703078,2.6900594729317,1.69389953994614,1.50123026091724,-1.95270117294344
"11052","ENSDARG00000029250","poli",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-0.748102554358025,2.39294385608336,2.77304056059895,2.69876968692828,2.18591413760888,2.03677412354682,2.06442076346876
"11053","ENSDARG00000061622","kcng3",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.18537822931141,2.38395309876565,2.5136650964969,2.77300256927973,1.34225895129511,-1.00959372206363,-2.5
"11054","ENSDARG00000020901","gabrp",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.0360755295315,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,2.77183067901678
"11055","ENSDARG00000059549","akap10",-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,1.17903969289892,2.42925711362035,2.42139839171212,2.77126022586397,1.63092732886821,1.27690937520286,1.61302242371886
